URL	Label Comment
waterdata.usgs.gov/nwis/*	_cse_d6ieoekzj1u	
waterisotopes.org/*	_cse_d6ieoekzj1u	
www-naweb.iaea.org/napc/ih/*	_cse_d6ieoekzj1u	
isomap.org/*	_cse_d6ieoekzj1u	
fmp.conncoll.edu/Silicasecchidisk/*	_cse_d6ieoekzj1u	
www.cesm.ucar.edu/models/ccsm3.0/pop/*	_cse_d6ieoekzj1u	
www.elic.ucl.ac.be/repomodx/elic/*	_cse_d6ieoekzj1u	
www.ictp.it/research/esp/models/*	_cse_d6ieoekzj1u	
www.ictp.it/research/esp/models/*	_cse_d6ieoekzj1u	
www.nova.edu/ocean/coralxds/*	_cse_d6ieoekzj1u	
www.marine-geo.org/portals/ridge2000/*	_cse_d6ieoekzj1u	
www.marine-geo.org/portals/margins/*	_cse_d6ieoekzj1u	
www.gplates.org/*	_cse_d6ieoekzj1u	
www.mpimet.mpg.de/en/science/models/*	_cse_d6ieoekzj1u	
data.giss.nasa.gov/o18data/*	_cse_d6ieoekzj1u	
www.nemo-ocean.eu/*	_cse_d6ieoekzj1u	
www.marine-geo.org/portals/geoprisms/*	_cse_d6ieoekzj1u	
lorraine-lisiecki.com/*	_cse_d6ieoekzj1u	
www.gfdl.noaa.gov/cm2m-and-cm2g/*	_cse_d6ieoekzj1u	
www.nemo-ocean.eu/*	_cse_d6ieoekzj1u	
mdl-mom5.herokuapp.com/web/*	_cse_d6ieoekzj1u	
www.gfdl.noaa.gov/gold-ocean-model/*	_cse_d6ieoekzj1u	
www.gfdl.noaa.gov/gold-ocean-model/*	_cse_d6ieoekzj1u	
www.elic.ucl.ac.be/repomodx/elic/*	_cse_d6ieoekzj1u	
www.elic.ucl.ac.be/repomodx/elic/*	_cse_d6ieoekzj1u	
www.legos.obs-mip.fr/recherches/equipes/geomar/Nd_DataBase/*	_cse_d6ieoekzj1u	
www.mpimet.mpg.de/en/science/models/*	_cse_d6ieoekzj1u	
www.metoffice.gov.uk/research/modelling-systems/unified-model/climate-models/hadcm5/*	_cse_d6ieoekzj1u	
www.ucm.es/info/cliwoc/*	_cse_d6ieoekzj1u	
www.ig.utexas.edu/sdc/*	_cse_d6ieoekzj1u	
pidba.utk.edu/*	_cse_d6ieoekzj1u	
animaldiversity.ummz.umich.edu/*	_cse_d6ieoekzj1u	
bison.usgs.ornl.gov/*	_cse_d6ieoekzj1u	
www.bugscep.com/*	_cse_d6ieoekzj1u	
portal.chronos.org/*	_cse_d6ieoekzj1u	
portal.chronos.org/gridsphere/gridsphere?cid=res_foram/*	_cse_d6ieoekzj1u	
www.fossilrecord.net/dateaclade/*	_cse_d6ieoekzj1u	
diatom.ansp.org/dpdc/*	_cse_d6ieoekzj1u	
paleo.esrf.eu/*	_cse_d6ieoekzj1u	
craticula.ncl.ac.uk/Eddi/jsp/*	_cse_d6ieoekzj1u	
fishbase.org/*	_cse_d6ieoekzj1u	
fred.org.nz/*	_cse_d6ieoekzj1u	
www.nescent.org/science/*	_cse_d6ieoekzj1u	
gbif.org/*	_cse_d6ieoekzj1u	
idigbio.org/portal/*	_cse_d6ieoekzj1u	
www.ncdc.noaa.gov/data-access/paleoclimatology-data/datasets/insect/*	_cse_d6ieoekzj1u	
www2.unil.ch/interrad-mrd/*	_cse_d6ieoekzj1u	
www.usanpn.org/*	_cse_d6ieoekzj1u	
www.neotomadb.org/*	_cse_d6ieoekzj1u	
eusmilia.geology.uiowa.edu/*	_cse_d6ieoekzj1u	
iobis.org/*	_cse_d6ieoekzj1u	
peabody.yale.edu/collections/*	_cse_d6ieoekzj1u	
radiolaria.org/*	_cse_d6ieoekzj1u	
paleobiology.si.edu/collections/*	_cse_d6ieoekzj1u	
biostratigraphy.com/*	_cse_d6ieoekzj1u	
biostratigraphy.com/*	_cse_d6ieoekzj1u	
biostratigraphy.com/*	_cse_d6ieoekzj1u	
biostratigraphy.com/*	_cse_d6ieoekzj1u	
biostratigraphy.com/*	_cse_d6ieoekzj1u	
biostratigraphy.com/*	_cse_d6ieoekzj1u	
www.pazsoftware.com/*	_cse_d6ieoekzj1u	
www.pazsoftware.com/*	_cse_d6ieoekzj1u	
www.pazsoftware.com/*	_cse_d6ieoekzj1u	
www.pazsoftware.com/*	_cse_d6ieoekzj1u	
www.pazsoftware.com/*	_cse_d6ieoekzj1u	
www.pazsoftware.com/*	_cse_d6ieoekzj1u	
www.pazsoftware.com/*	_cse_d6ieoekzj1u	
www.pazsoftware.com/*	_cse_d6ieoekzj1u	
www.pazsoftware.com/*	_cse_d6ieoekzj1u	
www.pazsoftware.com/*	_cse_d6ieoekzj1u	
www.pazsoftware.com/*	_cse_d6ieoekzj1u	
www.pazsoftware.com/*	_cse_d6ieoekzj1u	
www.pazsoftware.com/*	_cse_d6ieoekzj1u	
www.timetree.org/*	_cse_d6ieoekzj1u	
www.envs.emory.edu/faculty/MARTIN/ichnology/*	_cse_d6ieoekzj1u	
ucmpdb.berkeley.edu/*	_cse_d6ieoekzj1u	
research.fit.edu/paleolab/*	_cse_d6ieoekzj1u	
www.ucmp.berkeley.edu/neomap/*	_cse_d6ieoekzj1u	
www.ucmp.berkeley.edu/faunmap/*	_cse_d6ieoekzj1u	
www.ucmp.berkeley.edu/miomap/*	_cse_d6ieoekzj1u	
https://www.dmr.nd.gov/ndfossil/Collections/*	_cse_d6ieoekzj1u	
paleobiodb.org/*	_cse_d6ieoekzj1u	
www.paleoportal.org/*	_cse_d6ieoekzj1u	
www.morphobank.org/*	_cse_d6ieoekzj1u	
zoobank.org/*	_cse_d6ieoekzj1u	
vbrant.eu/*	_cse_d6ieoekzj1u	
